Year,Applied,Granted,Ratio,Industry
1964,486,421,0.866255144,Pharm
1965,473,443,0.936575053,Pharm
1966,507,486,0.958579882,Pharm
1967,503,484,0.96222664,Pharm
1968,425,402,0.945882353,Pharm
1969,415,398,0.959036145,Pharm
1970,502,477,0.950199203,Pharm
1971,457,235,0.514223195,Pharm
1972,508,305,0.600393701,Pharm
1973,506,271,0.535573123,Pharm
1974,434,251,0.578341014,Pharm
1975,448,243,0.542410714,Pharm
1976,584,365,0.625,Pharm
1977,584,342,0.585616438,Pharm
1978,582,376,0.64604811,Pharm
1979,589,323,0.548387097,Pharm
1980,715,421,0.588811189,Pharm
1981,653,392,0.600306279,Pharm
1982,706,401,0.567988669,Pharm
1983,694,377,0.543227666,Pharm
1984,703,375,0.533428165,Pharm
1985,595,271,0.455462185,Pharm
1986,713,376,0.527349229,Pharm
1987,863,429,0.497103129,Pharm
1988,849,387,0.455830389,Pharm
1989,957,476,0.49738767,Pharm
1990,1200,519,0.4325,Pharm
1991,823,367,0.445929526,Pharm
1992,868,364,0.419354839,Pharm
1993,949,371,0.390937829,Pharm
1994,1012,398,0.393280632,Pharm
1995,859,315,0.366705471,Pharm
1996,914,321,0.351203501,Pharm
1997,941,325,0.345377258,Pharm
1998,908,307,0.338105727,Pharm
1999,974,320,0.328542094,Pharm
2000,957,333,0.347962382,Pharm
2001,1079,374,0.346617238,Pharm
2002,1047,422,0.403056351,Pharm
2003,1046,448,0.428298279,Pharm
2004,1102,512,0.4646098,Pharm
2005,1212,550,0.45379538,Pharm
2006,1134,570,0.502645503,Pharm
2007,993,492,0.495468278,Pharm
2008,1010,539,0.533663366,Pharm
2009,987,516,0.522796353,Pharm
2010,937,473,0.504802561,Pharm
2011,846,478,0.56501182,Pharm
2012,859,530,0.616996508,Pharm
2013,794,494,0.622166247,Pharm
2014,866,464,0.535796767,Pharm
2015,810,264,0.325925926,Pharm
2016,842,177,0.210213777,Pharm
2017,787,117,0.14866582,Pharm
2018,385,32,0.083116883,Pharm
2019,181,2,0.011049724,Pharm
1964,945,785,0.830687831,Machinery
1965,1137,994,0.874230431,Machinery
1966,1094,1001,0.914990859,Machinery
1967,1506,1354,0.899070385,Machinery
1968,1887,1736,0.919978802,Machinery
1969,2011,1866,0.927896569,Machinery
1970,2466,2306,0.935117599,Machinery
1971,3386,1746,0.515652688,Machinery
1972,4213,2196,0.521243769,Machinery
1973,4562,2324,0.50942569,Machinery
1974,5665,2619,0.462312445,Machinery
1975,6438,2760,0.428704567,Machinery
1976,6820,3106,0.45542522,Machinery
1977,6227,2787,0.447567047,Machinery
1978,6215,2639,0.42461786,Machinery
1979,6235,2584,0.414434643,Machinery
1980,7474,2942,0.393631255,Machinery
1981,7925,3019,0.380946372,Machinery
1982,9150,3508,0.383387978,Machinery
1983,10459,3582,0.342480161,Machinery
1984,11058,3609,0.326370049,Machinery
1985,11128,3819,0.343188354,Machinery
1986,11320,4163,0.367756184,Machinery
1987,10602,3975,0.374929259,Machinery
1988,10838,4212,0.388632589,Machinery
1989,11288,4787,0.424078668,Machinery
1990,13142,5449,0.414624867,Machinery
1991,14131,5559,0.393390418,Machinery
1992,14389,5504,0.382514421,Machinery
1993,14879,5853,0.393373211,Machinery
1994,14749,5669,0.384365042,Machinery
1995,15693,6057,0.385968266,Machinery
1996,15373,5819,0.378520783,Machinery
1997,15876,5886,0.370748299,Machinery
1998,15356,5638,0.367152904,Machinery
1999,14730,5410,0.367277665,Machinery
2000,17080,5825,0.341042155,Machinery
2001,17537,6142,0.35023094,Machinery
2002,16300,6205,0.380674847,Machinery
2003,12879,5508,0.427672956,Machinery
2004,14181,6085,0.429095268,Machinery
2005,14586,6345,0.43500617,Machinery
2006,15833,7003,0.442304049,Machinery
2007,15001,7308,0.487167522,Machinery
2008,15344,8345,0.543860792,Machinery
2009,12408,7300,0.58833011,Machinery
2010,12949,7868,0.607614488,Machinery
2011,14283,8709,0.609745852,Machinery
2012,15202,9227,0.606959611,Machinery
2013,13687,8805,0.643311171,Machinery
2014,13581,8872,0.653265592,Machinery
2015,12843,6537,0.508993226,Machinery
2016,13152,3016,0.229318735,Machinery
2017,13695,1498,0.109382986,Machinery
2018,3333,565,0.169516952,Machinery
2019,430,26,0.060465116,Machinery
1964,1540,1337,0.868181818,Chemical
1965,2001,1773,0.886056972,Chemical
1966,1991,1811,0.909593169,Chemical
1967,2307,2116,0.917208496,Chemical
1968,2785,2558,0.918491921,Chemical
1969,2815,2628,0.93357016,Chemical
1970,4076,3835,0.940873405,Chemical
1971,3684,1833,0.497557003,Chemical
1972,4641,2299,0.495367378,Chemical
1973,5066,2567,0.506711409,Chemical
1974,5223,2711,0.519050354,Chemical
1975,5392,2815,0.522069733,Chemical
1976,5944,3157,0.531123822,Chemical
1977,5982,3238,0.541290538,Chemical
1978,5986,3133,0.523387905,Chemical
1979,6573,3499,0.532329226,Chemical
1980,7199,3785,0.525767468,Chemical
1981,8067,4039,0.50068179,Chemical
1982,8868,4346,0.49007668,Chemical
1983,10087,4941,0.489838406,Chemical
1984,10755,5036,0.468247327,Chemical
1985,11500,5232,0.454956522,Chemical
1986,12220,5459,0.446726678,Chemical
1987,13449,5504,0.409249758,Chemical
1988,13492,5527,0.409650163,Chemical
1989,14646,6287,0.429263963,Chemical
1990,16012,6811,0.425368474,Chemical
1991,16585,6599,0.397889659,Chemical
1992,17786,6853,0.385303047,Chemical
1993,18717,6665,0.356093391,Chemical
1994,17633,6090,0.345375149,Chemical
1995,18411,6260,0.340014122,Chemical
1996,18515,5989,0.323467459,Chemical
1997,18613,5906,0.317305109,Chemical
1998,18857,5940,0.315002386,Chemical
1999,19269,6441,0.334267476,Chemical
2000,19547,6723,0.343940247,Chemical
2001,19221,7370,0.383434785,Chemical
2002,18747,8121,0.43318931,Chemical
2003,17964,7995,0.44505678,Chemical
2004,18341,8384,0.457117933,Chemical
2005,19376,9267,0.478272089,Chemical
2006,18329,9542,0.520595777,Chemical
2007,17207,9254,0.537804382,Chemical
2008,17783,9973,0.56081651,Chemical
2009,17135,9945,0.580391013,Chemical
2010,17604,10339,0.587309702,Chemical
2011,18329,10964,0.598177751,Chemical
2012,18299,11194,0.611727417,Chemical
2013,16981,10955,0.645132795,Chemical
2014,16620,10686,0.642960289,Chemical
2015,15935,7202,0.451961092,Chemical
2016,15982,2926,0.183080966,Chemical
2017,15745,1900,0.12067323,Chemical
2018,5011,852,0.170025943,Chemical
2019,666,36,0.054054054,Chemical
1964,3864,3376,0.873706004,Electronics
1965,4206,3800,0.903471232,Electronics
1966,5521,5097,0.923202318,Electronics
1967,5337,4981,0.933295859,Electronics
1968,6590,6212,0.942640364,Electronics
1969,7833,7450,0.951104302,Electronics
1970,10571,10093,0.954781951,Electronics
1971,14083,6118,0.434424483,Electronics
1972,19987,7992,0.399859909,Electronics
1973,27907,9771,0.350127208,Electronics
1974,28908,9771,0.338003321,Electronics
1975,31581,9689,0.306798391,Electronics
1976,37298,11274,0.302268218,Electronics
1977,41031,12813,0.312276084,Electronics
1978,43517,13592,0.312337707,Electronics
1979,48057,14354,0.298686976,Electronics
1980,55076,15642,0.284007553,Electronics
1981,63515,16596,0.261292608,Electronics
1982,69542,16813,0.241767565,Electronics
1983,72826,17288,0.237387746,Electronics
1984,81557,18439,0.226087276,Electronics
1985,89621,20016,0.223340512,Electronics
1986,92571,21341,0.230536561,Electronics
1987,100521,23956,0.238318361,Electronics
1988,98482,23911,0.242795638,Electronics
1989,101167,25455,0.251613668,Electronics
1990,106251,27044,0.254529369,Electronics
1991,102278,26835,0.26237314,Electronics
1992,98592,26389,0.267658634,Electronics
1993,88904,24649,0.277254117,Electronics
1994,78072,21777,0.278934829,Electronics
1995,80558,22611,0.280679759,Electronics
1996,77660,21935,0.282449137,Electronics
1997,80629,23203,0.28777487,Electronics
1998,84365,24468,0.290025485,Electronics
1999,81036,24112,0.297546769,Electronics
2000,85109,25694,0.301895217,Electronics
2001,88222,28178,0.319398789,Electronics
2002,87112,31427,0.360765451,Electronics
2003,89456,33839,0.378275353,Electronics
2004,92007,35507,0.385916289,Electronics
2005,94546,37229,0.393765998,Electronics
2006,91360,39308,0.43025394,Electronics
2007,97435,43461,0.446051214,Electronics
2008,98394,45961,0.467111816,Electronics
2009,88893,44187,0.49708076,Electronics
2010,86054,45257,0.525913961,Electronics
2011,85520,45976,0.537605239,Electronics
2012,81877,46235,0.564688496,Electronics
2013,74691,44552,0.596484181,Electronics
2014,69992,40978,0.585466911,Electronics
2015,66469,30498,0.458830432,Electronics
2016,63551,13043,0.205236739,Electronics
2017,61310,7430,0.121187408,Electronics
2018,16043,2625,0.163622764,Electronics
2019,1849,96,0.051919957,Electronics
1964,170,141,0.829411765,Motor
1965,197,174,0.883248731,Motor
1966,299,263,0.879598662,Motor
1967,379,352,0.928759894,Motor
1968,580,549,0.946551724,Motor
1969,754,716,0.949602122,Motor
1970,1021,968,0.948090108,Motor
1971,1862,952,0.511278195,Motor
1972,1894,912,0.481520591,Motor
1973,2426,1104,0.455070074,Motor
1974,2473,1066,0.431055398,Motor
1975,2881,1099,0.381464769,Motor
1976,3376,1404,0.415876777,Motor
1977,3123,1377,0.44092219,Motor
1978,4213,1925,0.45691906,Motor
1979,5191,2130,0.410325563,Motor
1980,6571,2554,0.388677522,Motor
1981,9521,3672,0.385673774,Motor
1982,11343,4324,0.381204267,Motor
1983,11442,4308,0.376507604,Motor
1984,12828,4624,0.36046149,Motor
1985,14028,5153,0.367336755,Motor
1986,13655,4983,0.364921274,Motor
1987,12503,4725,0.377909302,Motor
1988,12184,5068,0.415955351,Motor
1989,13720,5470,0.398688047,Motor
1990,13904,5476,0.393843498,Motor
1991,14781,6036,0.408362086,Motor
1992,14728,5908,0.401140684,Motor
1993,16122,6809,0.422342141,Motor
1994,14515,5964,0.410885291,Motor
1995,15196,6091,0.400829166,Motor
1996,14823,6360,0.429062943,Motor
1997,15643,6802,0.434827079,Motor
1998,15291,6693,0.437708456,Motor
1999,14117,6254,0.443011971,Motor
2000,14487,6663,0.459929592,Motor
2001,16061,7657,0.47674491,Motor
2002,17367,8961,0.51597858,Motor
2003,20585,10006,0.486082099,Motor
2004,22215,10365,0.466576637,Motor
2005,22723,10935,0.481230471,Motor
2006,22551,10865,0.481796816,Motor
2007,22711,10838,0.477213685,Motor
2008,24762,12043,0.486350052,Motor
2009,20206,11354,0.561912303,Motor
2010,18085,10936,0.604700028,Motor
2011,19595,11951,0.609900485,Motor
2012,19197,11736,0.611345523,Motor
2013,18820,12095,0.642667375,Motor
2014,18993,12190,0.641815406,Motor
2015,18176,9852,0.542033451,Motor
2016,19347,5450,0.281697421,Motor
2017,19676,2559,0.130056922,Motor
2018,4406,342,0.077621425,Motor
2019,378,15,0.03968254,Motor
1964,133,108,0.812030075,Precision
1965,179,160,0.893854749,Precision
1966,150,141,0.94,Precision
1967,185,179,0.967567568,Precision
1968,289,273,0.944636678,Precision
1969,366,351,0.959016393,Precision
1970,403,390,0.967741935,Precision
1971,482,242,0.502074689,Precision
1972,769,383,0.498049415,Precision
1973,840,358,0.426190476,Precision
1974,1096,460,0.419708029,Precision
1975,1192,412,0.345637584,Precision
1976,1299,425,0.32717475,Precision
1977,1518,531,0.349802372,Precision
1978,1522,418,0.274638633,Precision
1979,1936,631,0.325929752,Precision
1980,2442,859,0.351760852,Precision
1981,2903,1131,0.389596969,Precision
1982,3041,1145,0.376520881,Precision
1983,3210,1188,0.370093458,Precision
1984,3330,1267,0.38048048,Precision
1985,3718,1281,0.344540075,Precision
1986,3745,1323,0.353271028,Precision
1987,4266,1634,0.383028598,Precision
1988,4117,1652,0.401263056,Precision
1989,4602,1787,0.388309431,Precision
1990,4903,1803,0.36773404,Precision
1991,5826,1972,0.338482664,Precision
1992,6202,2073,0.334247017,Precision
1993,6902,2230,0.323094755,Precision
1994,6600,2002,0.303333333,Precision
1995,7012,1936,0.276098118,Precision
1996,6828,1626,0.238137083,Precision
1997,6633,1582,0.238504447,Precision
1998,6513,1629,0.250115154,Precision
1999,6600,1811,0.274393939,Precision
2000,6670,1801,0.270014993,Precision
2001,6587,1923,0.291938667,Precision
2002,8811,2715,0.308137555,Precision
2003,10656,3420,0.320945946,Precision
2004,12459,4180,0.335500441,Precision
2005,11891,4284,0.360272475,Precision
2006,10183,3987,0.391534911,Precision
2007,10633,4360,0.410044202,Precision
2008,11697,5112,0.437035137,Precision
2009,10106,4648,0.459924797,Precision
2010,9467,4498,0.475124115,Precision
2011,9302,4698,0.505052677,Precision
2012,8950,5080,0.567597765,Precision
2013,7960,4997,0.627763819,Precision
2014,6919,4467,0.645613528,Precision
2015,7440,3951,0.531048387,Precision
2016,7449,1391,0.186736475,Precision
2017,6497,730,0.112359551,Precision
2018,1740,309,0.177586207,Precision
2019,285,13,0.045614035,Precision
1964,38323,28641,0.747357983,Cumulative
1965,42540,35279,0.829313587,Cumulative
1966,46853,41125,0.877745288,Cumulative
1967,47672,43012,0.902248699,Cumulative
1968,56235,51672,0.918858362,Cumulative
1969,62147,57666,0.927896761,Cumulative
1970,75908,70744,0.93197028,Cumulative
1971,107371,45952,0.427974034,Cumulative
1972,128128,54441,0.424895417,Cumulative
1973,142491,58448,0.41018731,Cumulative
1974,146615,58910,0.401800634,Cumulative
1975,154176,59645,0.386863066,Cumulative
1976,162040,61692,0.38072081,Cumulative
1977,164275,62262,0.379010805,Cumulative
1978,171944,65335,0.379978365,Cumulative
1979,183159,68740,0.375302333,Cumulative
1980,200527,74196,0.370005037,Cumulative
1981,229953,81987,0.356538075,Cumulative
1982,250502,85708,0.342144973,Cumulative
1983,269405,90633,0.336419146,Cumulative
1984,301542,97287,0.322631673,Cumulative
1985,319662,101875,0.318695998,Cumulative
1986,335900,106663,0.317543912,Cumulative
1987,356437,113333,0.317960818,Cumulative
1988,355350,116187,0.326964964,Cumulative
1989,365458,123079,0.33678015,Cumulative
1990,383842,129770,0.338081815,Cumulative
1991,384610,129644,0.337079119,Cumulative
1992,388104,132518,0.341449715,Cumulative
1993,383318,137233,0.358013451,Cumulative
1994,368464,130169,0.353274675,Cumulative
1995,384789,134222,0.348819743,Cumulative
1996,393510,134088,0.340748647,Cumulative
1997,406748,136760,0.336227836,Cumulative
1998,418309,140607,0.336131902,Cumulative
1999,418540,138576,0.331093802,Cumulative
2000,449449,142981,0.318125082,Cumulative
2001,451676,153165,0.339103694,Cumulative
2002,431402,167876,0.389140523,Cumulative
2003,424133,170079,0.40100393,Cumulative
2004,432051,176785,0.409176232,Cumulative
2005,434755,183916,0.423033663,Cumulative
2006,414080,185876,0.448889104,Cumulative
2007,392563,186260,0.474471613,Cumulative
2008,383338,193530,0.504854724,Cumulative
2009,346520,188163,0.543007619,Cumulative
2010,339566,195178,0.574786639,Cumulative
2011,334960,197353,0.589183783,Cumulative
2012,337238,205171,0.608386362,Cumulative
2013,324467,204792,0.63116434,Cumulative
2014,317718,197538,0.621740034,Cumulative
2015,306656,144346,0.470709851,Cumulative
2016,306262,71895,0.234749985,Cumulative
2017,280765,41135,0.146510427,Cumulative
2018,89687,16117,0.179702744,Cumulative
2019,13907,1172,0.084274107,Cumulative
